Brand of Car,Model of car,Year of Car,Price sold (or unsold),Country  of auction,Currency,Year of Auction
Porsche,911 3.8 Martini Racing Edition,2014,"£92,250",UK,"£92,250",2021
Porsche,911,2008,"$105,600",USA,"$105,600",2021
Porsche,911 Carrera 4 S Cabriolet,2006,"£25,440",UK,"£25,440",2021
Porsche,911 Carrera 4,2005,"£24,380",UK,"£24,380",2021
Porsche,911 Carrera 4 Cabriolet,2003,"£15,900",UK,"£15,900",2021
Porsche,911 Targa 4S,2009,"£47,700",UK,"£47,700",2021
Porsche,911,2001,"Estimate £28,000 - £30,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 2S,2004,"£19,688",UK,"£19,688",2021
Porsche,911 Carrera,2005,"£32,625",UK,"£32,625",2021
Porsche,911 Carrera,2002,"$26,950",USA,"$26,950",2021
Porsche,911 Carrera 2S Convertible,2008,"£31,860",UK,"£31,860",2021
Porsche,911 Carrera 2,2004,"Estimate £18,000 - £22,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera Cabriolet,2009,"£36,075",UK,"£36,075",2021
Porsche,911 Carrera S,2007,"€47,000",France,"€47,000",2021
Porsche,911 Carrera 4S,2009,"€57,000",France,"€57,000",2021
Porsche,911 Cabriolet,2000,"Estimate €23,000 (unsold)",France,Estimate,2021
Porsche,911,2000,"Estimate £14,500 - £16,500 (unsold)",UK,Estimate,2021
Porsche,911 Carrera,2012,"£53,000",UK,"£53,000",2021
Porsche,911 Carrera 2S,2005,"£16,875",UK,"£16,875",2021
Porsche,911 Carrera 4S,2009,"£38,160",UK,"£38,160",2021
Porsche,911 Carrera 2,2006,"Estimate £22,000 - £24,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4S,2003,"Estimate £18,000 - £20,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4S,2003,"£21,280",UK,"£21,280",2021
Porsche,911 Carrera 4S,2004,"£24,840",UK,"£24,840",2021
Porsche,911 Carrera 4S,2004,"£16,740",UK,"£16,740",2021
Porsche,911 Carrera 4S,2002,"Estimate £19,000 - £21,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera Cabriolet,2000,"Estimate €30,000 - €35,000 (unsold)",France,Estimate,2021
Porsche,911 Targa,2003,"£13,440",UK,"£13,440",2021
Porsche,911 Carrera S,2005,"£46,412",UK,"£46,412",2021
Porsche,911 Carrera 4S Convertible,2006,"£31,696",UK,"£31,696",2021
Porsche,911 Carrera Rothmans Tribute,2005,"Estimate £88,000 - £105,000 (unsold)",UK,Estimate,2021
Porsche,911 C4 Cabriolet,2003,"Estimate £15,000 - £17,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4S,2008,"Estimate £23,000 - £25,000 (unsold)",UK,Estimate,2021
Porsche,911 Carrera 4S,2004,"€48,000",France,"€48,000",2021
Porsche,911 Carrera 4 Cabriolet,2000,"£14,946",UK,"£14,946",2021
Porsche,911 Targa 4S,2008,"£39,432",UK,"£39,432",2021
Porsche,911 Carrera 4S Cabriolet,2004,"£18,281",UK,"£18,281",2021
Porsche,911 Carrera 4 Cabriolet,2009,"$57,200",USA,"$57,200",2021
Porsche,911 Carrera S,2003,"£14,300",UK,"£14,300",2021
Porsche,911 Carrera 2 S,2005,"£30,780",UK,"£30,780",2021
Porsche,911 Carrera 4,2002,"£19,880",UK,"£19,880",2021
Porsche,911 Carrera 4S,2008,"$49,280",USA,"$49,280",2021
Porsche,911 Carrera,2002,"NZ$70,500",Zealand,"NZ$70,500",2020
Porsche,911 Carrera 2,2003,"£11,093",UK,"£11,093",2020
Porsche,911 Carrera 2,2002,"£12,426",UK,"£12,426",2020
Porsche,911 CSR Upgrade from 996 Carrera 4,2001,"Estimate £24,000 - £26,000 (unsold)",UK,Estimate,2020
Porsche,911 Club Sport,2013,"£168,750",UK,"£168,750",2020
Porsche,911 Carrera 4 Cabriolet,2000,"£14,850",UK,"£14,850",2020
Porsche,911 Carrera S,2012,"£37,000",UK,"£37,000",2020
Porsche,911 3.6 Targa,2002,"£17,360",UK,"£17,360",2020
Porsche,911 Carrera 4S,2002,"€53,576",Italy,"€53,576",2020
Porsche,911 Carrera 4S,2003,"Estimate £20,000 - £22,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera 4,2001,"£12,938",UK,"£12,938",2020
Porsche,911 Carrera 2 S,2006,"£19,250",UK,"£19,250",2020
Porsche,911,2005,"£19,081",UK,"£19,081",2020
Porsche,911 X50,2003,"£40,000",UK,"£40,000",2020
Porsche,911 Carrera 4 Targa,2007,"€44,500",France,"€44,500",2020
Porsche,911 Carrera S,2005,"£39,620",UK,"£39,620",2020
Porsche,911 Carerra S,2004,"£17,024",UK,"£17,024",2020
Porsche,911 Carrera 4,2003,"Estimate £13,000 - £15,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera,2002,"Estimate £11,500 - £12,500 (unsold)",UK,Estimate,2020
Porsche,911,2001,"Estimate £30,000 - £35,000 (unsold)",UK,Estimate,2020
Porsche,911 3.4 Carrera 4,2001,"£11,660",UK,"£11,660",2020
Porsche,911 Carrera 2 S,2005,"£17,050",UK,"£17,050",2020
Porsche,911 Carrera 4S,2004,"Estimate £12,000 - £14,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera,2004,"£30,375",UK,"£30,375",2020
Porsche,911 50th Anniversary Edition,2014,"£85,500",UK,"£85,500",2020
Porsche,911 Carrera 2,2003,"£14,625",UK,"£14,625",2020
Porsche,911 Carrera 4S,2006,"Estimate €37,000 - €45,000 (unsold)",France,Estimate,2020
Porsche,911 Carrera 2S,2005,"£17,738",UK,"£17,738",2020
Porsche,911 Carrera 4S Cabriolet,2003,"£21,508",UK,"£21,508",2020
Porsche,911 Carrera 4,2000,"£14,560",UK,"£14,560",2020
Porsche,911 Convertible,2003,"£27,440",UK,"£27,440",2020
Porsche,911 Carrera,2001,"Estimate £13,000 - £16,000 (unsold)",UK,Estimate,2020
Porsche,911 3.4 Carrera 4,2001,"Estimate £12,000 - £14,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera S,2008,"Estimate £29,000 - £32,000 (unsold)",UK,Estimate,2020
Porsche,911 Targa 4S,2015,"$86,000",USA,"$86,000",2020
Porsche,911 Carrera 4,2001,"£10,500",UK,"£10,500",2020
Porsche,911 Targa,2004,"€36,000",France,"€36,000",2020
Porsche,911 C4S Cabriolet,2004,"£11,250",UK,"£11,250",2020
Porsche,911 Carrera Cabriolet,2002,"Estimate £10,000 - £12,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera 2S,2005,"£21,600",UK,"£21,600",2020
Porsche,911 Convertible,2001,"£18,800",UK,"£18,800",2020
Porsche,911 Targa,2002,"£10,916",UK,"£10,916",2020
Porsche,911 Carrera S,2008,"Estimate £29,000 - £32,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera 2,2001,"£8,600",UK,"£8,600",2020
Porsche,911 Carrera,2000,"£13,975",UK,"£13,975",2020
Porsche,911 Carrera 2S,2005,"£18,562",UK,"£18,562",2020
Porsche,911 Targa 4S,2007,"€55,500",France,"€55,500",2020
Porsche,911 Carrera 2 Millenium,2000,"Estimate €40,000 - €50,000 (unsold)",France,Estimate,2020
Porsche,911 50th Anniversary,2014,"£107,520",UK,"£107,520",2020
Porsche,911 Carrera 4,2000,"Estimate £14,000 - £17,000 (unsold)",UK,Estimate,2020
Porsche,911 Carrera S Endurance Racing Edition,2017,"$126,000",USA,"$126,000",2020
Porsche,911 Carrera 4S Convertible,2008,"£27,440",UK,"£27,440",2020
Porsche,911 Carrera S Club,2006,"$89,600",USA,"$89,600",2020
Porsche,911 50th Anniversary Edition,2014,"$137,200",USA,"$137,200",2020
Porsche,911 Targa 3.6,2002,"£9,130",UK,"£9,130",2020
Porsche,911 Carrera 2,2006,"£16,000",UK,"£16,000",2020
Porsche,911 Carrera 2,2001,"£15,000",UK,"£15,000",2020
Porsche,911 Carrera 4,2000,"£13,356",UK,"£13,356",2020
Porsche,911 Carrera 2 S Convertible,2007,"£22,260",UK,"£22,260",2020
Porsche,911 Targa,2004,"Estimate €30,000 - €35,000 (unsold)",France,Estimate,2020
Porsche,911 Carrera S Endurance Racing Edition,2017,"$145,600",USA,"$145,600",2020
Porsche,911 Carrera 4 Cabriolet,2001,"Estimate £15,000 - £20,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera C4S,2002,"£13,250",UK,"£13,250",2019
Porsche,911 Carrera C4,2000,"Estimate £15,000 - £17,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera S Cabriolet,2006,"Estimate £28,000 - £32,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera C4,2001,"£9,520",UK,"£9,520",2019
Porsche,911 Targa,2002,"Estimate £12,000 - £15,000 (unsold)",UK,Estimate,2019
1978,Porsche 911 SC 3.0,c.,"£32,200",UK,"£32,200",2019
Porsche,"911 ""50th Anniversary Edition"" Pastel Black",2013,"Estimate €140,000 - €160,000 (unsold)",Italy,Estimate,2019
Porsche,911 Carrera 4,2001,"£12,900",UK,"£12,900",2019
Porsche,911 Carrera C4 Cabriolet,2003,"Estimate £23,000 - £28,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 4 Cabriolet,2001,"Estimate £15,000 - £20,000 (WITHDRAWN)",UK,Estimate,2019
Porsche,911 Carrera 4S,2002,"Estimate £13,500 - £14,500 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 4,2001,"Estimate £12,800 - £13,800 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 4S,2003,"Estimate £14,000 - £18,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 2S,2005,"Estimate £15,000 - £19,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 4S,2006,"£26,880",UK,"£26,880",2019
Porsche,911 Carrera 4 Convertible,2003,"Estimate £16,000 - £20,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera,2013,"Estimate £43,000 - £53,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 4S Cabriolet,2005,"£20,160",UK,"£20,160",2019
Porsche,911 Carrera 4 Convertible,2002,"£13,356",UK,"£13,356",2019
Porsche,911 Carrera Convertible,2001,"Estimate £14,000 - £16,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 4 Convertible,2001,"Estimate £12,800 - £13,800 (unsold)",UK,Estimate,2019
Porsche,911 Carrera S Endurance Racing Edition,2017,"$235,200",USA,"$235,200",2019
Porsche,911 Carrera 2,2002,"£11,655",UK,"£11,655",2019
Porsche,911 Carrera 2 S,2004,"£20,535",UK,"£20,535",2019
Porsche,911 Carrera 4S,2004,"£38,025",UK,"£38,025",2019
Porsche,911 Carrera 2,2002,"£13,750",UK,"£13,750",2019
Porsche,911 Carrera 3.6,2001,"Estimate €25,000 - €35,000 (unsold)",France,Estimate,2019
Porsche,911 Carrera 4 Convertible,2001,"£12,720",UK,"£12,720",2019
Porsche,911 Carrera 2,2003,"Estimate £17,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 4S,2004,"Estimate £12,000 - £14,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 4,2001,"£14,763",UK,"£14,763",2019
Porsche,911 Carrera 2 Cabriolet,2001,"Estimate £10,000 - £14,000 (WITHDRAWN)",UK,Estimate,2019
Porsche,911 C4,2003,"Estimate £16,000 - £20,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 4S Cabriolet,2006,"£37,520",UK,"£37,520",2019
Porsche,911 Carrera 4,2000,"£13,200",UK,"£13,200",2019
Porsche,911 Carrera 4S Cabriolet,2004,"$49,280",USA,"$49,280",2019
Porsche,911 C4 S,2005,"£13,530",UK,"£13,530",2019
Porsche,911 Carrera 2 S,2005,£21,UK,£21,2019
Porsche,911 Carrera 2 S,2007,"Estimate £28,000 - £32,000 (unsold)",UK,Estimate,2019
Porsche,911 40th Anniversary Edition,2004,"£30,740",UK,"£30,740",2019
Porsche,911 Carrera 4S,2004,"£14,522",UK,"£14,522",2019
Porsche,911 Carrera 4S,2003,"Estimate £22,000 - £26,000 (WITHDRAWN)",UK,Estimate,2019
Porsche,911 Carrera 2,2003,"£14,985",UK,"£14,985",2019
Porsche,911 Carrera 4,2002,"Estimate £10,000 - £12,000 (unsold)",UK,Estimate,2019
Porsche,911 Carrera 2,2000,"£12,550",UK,"£12,550",2019
Porsche,911 Carrera 2S,2005,"Estimate £20,000 - £22,000 (WITHDRAWN)",UK,Estimate,2019
Porsche,911 Carrera 2S Cabriolet,2008,"£20,720",UK,"£20,720",2019
Porsche,911 Carrera 4S,2004,"Estimate £23,000 - £25,000 (unsold)",UK,Estimate,2019
Porsche,911 Rothmans tribute,2005,"£62,720",UK,"£62,720",2019
Porsche,911,2000,"£9,350",UK,"£9,350",2019
Porsche,911 Carrera 4S,2003,"Estimate £25,000 - £35,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 4S,2003,"£18,260",UK,"£18,260",2018
Porsche,911 Carrera 2,2002,"£14,625",UK,"£14,625",2018
Porsche,911 Carrera 4,2000,"£8,480",UK,"£8,480",2018
Porsche,911 4S,2002,"Estimate €40,000 - €50,000 (unsold)",Italy,Estimate,2018
Porsche,911 Targa,2003,"Estimate £15,000 - £17,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 4S,2002,"£15,370",UK,"£15,370",2018
Porsche,911 Carrera 4S,2008,"£35,438",UK,"£35,438",2018
Porsche,911 Targa 4S,2015,"£79,875",UK,"£79,875",2018
Porsche,911 Carrera 2,2001,"£17,000",UK,"£17,000",2018
Porsche,911 Carrera S Club Coupe,2006,"$151,200",USA,"$151,200",2018
Porsche,911 Targa 4S,2008,"£34,720",UK,"£34,720",2018
Porsche,911 Carrera 2 Convertible,2003,"£19,250",UK,"£19,250",2018
Porsche,911 Carrera 4S Coupe,2004,"£25,850",UK,"£25,850",2018
Porsche,911 Carrera 2S,2005,"Estimate £21,000 - £23,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 2S,2008,"Estimate £33,000 - £36,000 (unsold)",UK,Estimate,2018
Porsche,911 3.4 Carrera Convertible,2000,"£14,840",UK,"£14,840",2018
Porsche,911 Targa 4S Exclusive Design Edition,2017,"€220,000",Monaco,"€220,000",2018
Porsche,911 by Orlinski,2007,"€217,800",Monaco,"€217,800",2018
Porsche,911 Carrera S,2000,"Estimate £18,000 - £20,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 4,2002,"Estimate £18,000 - £24,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 4 S,2004,"Estimate £25,000 - £27,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 4 S Convertible,2004,"£17,500",UK,"£17,500",2018
Porsche,911 Carrera 2 S,2005,"Estimate £23,000 - £25,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 4 S,2002,"£16,500",UK,"£16,500",2018
Porsche,911 Carrera Convertible,2001,"£11,660",UK,"£11,660",2018
Porsche,911 Carrera 4 Convertible,2000,"£10,812",UK,"£10,812",2018
Porsche,911 Carrera 4S,2004,"£12,296",UK,"£12,296",2018
Porsche,911 Carrera 2,2001,"Sold (Estimate £13,000 - £16,000)",UK,Sold,2018
Porsche,911 Carrera C4S Convertible,2003,"Estimate £20,000 - £25,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 2S,2004,"£18,150",UK,"£18,150",2018
Porsche,911 Carrera 4S,2004,"Estimate £40,000 - £45,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 4S,2006,"£20,945",UK,"£20,945",2018
Porsche,911 Targa,2002,"£14,560",UK,"£14,560",2018
Porsche,911 3.8 Carrera 4S,2007,"Estimate £25,000 - £27,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 4,2004,"£12,500",UK,"£12,500",2018
Porsche,911 Carrera S Martini Racing Edition,2014,"€109,250",Monaco,"€109,250",2018
Porsche,911 Carrera 2,2002,"£17,250",UK,"£17,250",2018
Porsche,911 Carrera 2,2005,"Estimate £18,000 - £20,000 (unsold)",UK,Estimate,2018
Porsche,911 Carrera 3.4,2001,"€32,152",France,"€32,152",2018
Porsche,911 Carrera Convertible,2001,"£15,900",UK,"£15,900",2018
Porsche,911 Carrera 2S,2004,"£19,610",UK,"£19,610",2018
Porsche,911 Carrera Cabriolet,2003,"$20,900",USA,"$20,900",2018
Porsche,911 Carrera 4 Convertible,2002,"£11,000",UK,"£11,000",2018
Porsche,911 Carrera 4S,2004,"Estimate £40,000 - £50,000 (unsold)",UK,Estimate,2018
Porsche,911 50th Anniversary,2014,"$148,500",USA,"$148,500",2018
Porsche,911 Carrera 4,2001,"£13,750",UK,"£13,750",2018
Porsche,911 Carrera 2,2008,"£25,200",UK,"£25,200",2018
Porsche,911 Carrera 2S Convertible,2006,"Estimate £26,000 - £32,000 (unsold)",UK,Estimate,2018
Porsche,911 Targa,2002,"£17,360",UK,"£17,360",2018
Porsche,911 Carrera 4S,2006,"Estimate £20,000 - £25,000 (unsold)",UK,Estimate,2018
Porsche,911 Convertible,2000,"£13,000",UK,"£13,000",2017
Porsche,911 Carrera 2,2003,"£13,870",UK,"£13,870",2017
Porsche,911 Carrera 2,2006,"£18,260",UK,"£18,260",2017
Porsche,911 Carrera 4S,2001,"Estimate £13,000 - £15,000 (unsold)",UK,Estimate,2017
Porsche,911 Carrera 2 Cabriolet,2005,"Estimate £22,000 - £25,000 (unsold)",UK,Estimate,2017
Porsche,911 Carrera 4,2002,"£11,812",UK,"£11,812",2017
Porsche,911 Carrera 4S,2003,"Estimate £30,000 - £35,000 (unsold)",UK,Estimate,2017
Porsche,911 4S,2002,"Estimate £13,000 - £15,000 (unsold)",UK,Estimate,2017
Porsche,911 Targa 4S 30° Anniversario Coupe,2016,"Estimate €180,000 - €210,000 (unsold)",Italy,Estimate,2017
Porsche,911 Carrera 2,2003,"Estimate £18,000 - £22,000 (unsold)",UK,Estimate,2017
Porsche,911 Carrera 4S,2003,"Estimate £30,000 - £35,000 (unsold)",UK,Estimate,2017
Porsche,911 Carrera 4S,2001,"Estimate £16,500 - £18,500 (unsold)",UK,Estimate,2017
Porsche,911 Carrera 2S,2004,"£25,850",UK,"£25,850",2017
Porsche,911 C4,2001,"£14,448",UK,"£14,448",2017
Porsche,911 Carrera 2 Convertible,2001,"Estimate £16,000 - £20,000 (unsold)",UK,Estimate,2017
Porsche,911 Carrera,2001,"£10,042",UK,"£10,042",2017
Porsche,911 Carrera 2 Convertible,2007,"£26,924",UK,"£26,924",2017
Porsche,911 Carrera 4S,2004,"£16,830",UK,"£16,830",2017
Porsche,911 Carrera 2,2001,"£15,950",UK,"£15,950",2017
Porsche,911 Carrera 2S,2004,"£26,620",UK,"£26,620",2017
Porsche,911 Convertible,2002,"£10,573",UK,"£10,573",2017
Porsche,911 Convertible,2001,"£13,871",UK,"£13,871",2017
Porsche,911 Carrera S Cabriolet,2005,"CHF28,000",Switzerland,"CHF28,000",2017
Porsche,911 Carrera 2,2004,"£16,275",UK,"£16,275",2017
Porsche,911 Carrera 4,2002,"£11,340",UK,"£11,340",2017
Porsche,911 Cabriolet,2001,"Estimate £12,500 - £14,500 (unsold)",UK,Estimate,2017
Porsche,911 Carrera 2 S,2005,"£15,400",UK,"£15,400",2017
Porsche,911 Carrera 4S Cabriolet,2004,"Estimate £21,000 - £26,000 (unsold)",UK,Estimate,2017
Porsche,911 Targa,2002,"£26,880",UK,"£26,880",2017
Porsche,911 Carrera 4S,2004,"Estimate £24,000 - £28,000 (unsold)",UK,Estimate,2017
Porsche,911 Carrera 4,2002,"£15,926",UK,"£15,926",2017
Porsche,911 Carrera 2S,2005,"£23,850",UK,"£23,850",2017
Porsche,911 Carrera S Martini Racing Edition,2014,"€123,200",France,"€123,200",2017
Porsche,911 Carrera 4S,2003,"€49,280",Italy,"€49,280",2016
Porsche,911 Carrera 4S Cabriolet,2004,"€50,400",Italy,"€50,400",2016
Porsche,911 Targa,2002,"€44,800",Italy,"€44,800",2016
Porsche,911 C2,2002,"Estimate £25,000 - £30,000 (unsold)",UK,Estimate,2016
Porsche,911 Carrera Cabriolet,2009,"£38,140",UK,"£38,140",2016
Porsche,911 Millennium Edition,2000,"Estimate £35,000 - £40,000 (unsold)",UK,Estimate,2016
Porsche,911 GT3,2004,"£60,000",UK,"£60,000",2016
Porsche,911 4S,2003,"Estimate €45,000 (unsold)",Germany,Estimate,2016
Porsche,911 Carrera Cabriolet,2000,"€16,100",Germany,"€16,100",2016
Porsche,911 Carrera 2,2001,"Estimate £30,000 - £35,000 (unsold)",UK,Estimate,2016
Porsche,911 Carrera 2 S,2005,"£23,800",UK,"£23,800",2015
Porsche,911 Carrera 2,2000,"Estimate £13,000 - £15,000 (unsold)",UK,Estimate,2015
Porsche,911,c.1970,"£19,500",UK,"£19,500",2015
Porsche,911 Carrera S,2005,"Estimate £20,000 - £22,000 (unsold)",UK,Estimate,2015
Porsche,911 TechArt GT Street R conversion show car,2001,"£24,640",UK,"£24,640",2015
Porsche,911 C4S,2003,"£15,750",UK,"£15,750",2015
Porsche,911 Carrera 2,2001,"£11,845",UK,"£11,845",2013
Porsche,911 Carrera,2000,"Estimate £10,000 - £12,000 (unsold)",UK,Estimate,2013
Porsche,911 Cabriolet,2000,"€26,473",Monaco,"€26,473",2013
